street;city;state;country;postal_code
Brandenburger Straße 123;Berlin;Berlin;Germany;10115
Downing Street 10;London;England;United Kingdom;SW1A 2AA
1600 Amphitheatre Parkway;Mountain View;California;United States;94043
Champs-Élysées 8;Paris;Île-de-France;France;75008
Rathausplatz 1;Vienna;Vienna;Austria;1010
Piazza San Marco;Venice;Veneto;Italy;30124
Kronprinzenpalais;Potsdam;Brandenburg;Germany;14467
Schlossplatz 1;Berlin;Berlin;Germany;10178
Rua Augusta 123;Lisbon;Lisbon;Portugal;1100-048
Sydney Opera House;Sydney;New South Wales;Australia;2000
Kurfürstendamm 1;Berlin;Berlin;Germany;10719
Broadway 123;New York;New York;United States;10001
Gran Vía 456;Madrid;Madrid;Spain;28013
Nakamise Street 1;Tokyo;Tokyo;Japan;111-0032
Am Hofgarten 1;Munich;Bavaria;Germany;80538
Lombard Street 555;San Francisco;California;United States;94133
Plaza de Mayo 1;Buenos Aires;Buenos Aires;Argentina;1004
Princes Street 456;Edinburgh;Scotland;United Kingdom;EH2 4AD
Nyhavn 7;Copenhagen;Capital Region;Denmark;1051
Avenida Paulista 987;São Paulo;São Paulo;Brazil;01310-100
Karl-Liebknecht-Straße 23;Leipzig;Saxony;Germany;04107
Jalan Malioboro 789;Yogyakarta;Special Region of Yogyakarta;Indonesia;55213
Lomonosovskiy Prospekt 321;Moscow;Moscow;Russia;119192
O'Connell Street 234;Dublin;Leinster;Ireland;D01 R2W7
Königsallee 45;Düsseldorf;North Rhine-Westphalia;Germany;40212
Keizersgracht 678;Amsterdam;North Holland;Netherlands;1017 CV
Bahnhofstraße 99;Zurich;Zurich;Switzerland;8001
Tverskaya Street 987;Moscow;Moscow;Russia;125009
Kensington Palace Gardens 1;London;England;United Kingdom;W8 4PX
Nanluoguxiang 456;Beijing;Beijing;China;100009
